fdsec01,fdsec02,fdsec03,fdsec04,fdsec05,fdsec06,fdsec07,fdsec08,fdsec09,hhnum,provcode,psurec,regcode,strrec,Wgt2
0,0,0,0,0,0,0,0,0,96,28,2,1,4,341.71463013
1,0,0,0,0,0,0,0,0,97,28,2,1,4,341.71463013
2,2,2,2,1,0,0,0,0,98,28,2,1,4,341.71463013
0,2,0,2,0,0,0,0,0,99,28,2,1,5,271.45379639
2,2,2,2,2,2,2,2,2,319,29,1,1,7,357.61621094
0,0,0,0,1,0,0,0,0,320,29,1,1,7,357.61621094
2,2,2,3,2,2,2,2,0,321,29,1,1,7,357.61621094
2,2,2,2,2,0,0,0,0,322,29,1,1,7,357.61621094
1,1,1,1,1,1,1,1,1,323,29,1,1,7,357.61621094
0,0,0,0,0,0,0,0,0,324,29,1,1,7,357.61621094
0,2,1,1,2,2,2,1,0,325,29,1,1,7,357.61621094
2,2,2,2,2,0,2,0,0,326,29,1,1,7,357.61621094
1,1,1,1,1,1,1,0,0,327,29,1,1,7,357.61621094
2,2,0,0,0,0,1,0,0,328,29,1,1,7,357.61621094
2,2,0,1,0,0,0,0,0,329,29,1,1,7,357.61621094
1,2,2,2,2,2,2,2,1,330,29,1,1,7,357.61621094
2,2,1,1,2,1,1,0,0,331,29,1,1,7,357.61621094
3,3,3,3,3,3,3,3,0,332,29,1,1,7,357.61621094
0,0,0,1,1,0,0,0,0,333,29,1,1,7,357.61621094
0,0,0,1,0,0,0,0,0,334,29,1,1,7,357.61621094
0,0,0,0,2,0,0,1,1,335,29,1,1,7,357.61621094
2,2,2,2,1,0,0,0,0,336,29,1,1,7,357.61621094
0,1,1,1,1,0,1,0,0,337,29,1,1,7,357.61621094
0,0,0,0,0,0,0,0,0,338,29,1,1,6,356.34274292
3,3,2,2,2,0,0,0,0,341,29,1,1,6,356.34274292
0,0,0,0,0,0,0,0,0,342,29,1,1,6,356.34274292
0,0,0,0,0,0,0,0,0,343,29,1,1,6,356.34274292
0,0,0,0,0,0,0,0,0,345,29,1,1,6,356.34274292
