regcode,provcode,hhnum,member_code,age,sex,psc,fg1,fg2,fg3,fg4,fg5,fg6,fg7,fg8,fg9,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,fg19,fg20,fg21,fg23,fg24,fg25,fg26,fg27,Total_Food,Total_Ener,Total_Prot,Total_Calc,Total_Iron,Total_VitA,Total_VitC,Total_Thia,Total_Ribo,Total_Nia,Total_CHO,Total_Fat,psurec,strrec,wgts
1,29,96,6,3.2635181,1,99,120.27,95.073997,0,25.195999,0,44.869999,0,49.79018,3.5464301,46.243752,0,0,0,64.055,1.4299999,62.625,0,31.6092,816.25,228.75,587.5,3.125,122.5,100,22.5,0,2425.3345,1247.23291,32.62358093,607.9316406,0.711109996,1.239959955,6.650619984,17.53186035,196.3532867,36.37181091,201.2402344,5.927889824,31427008000,29012,5296
1,29,97,1,26.499659,2,5,371.28351,335.05951,0,36.223999,0,28.440001,0,101.84595,32.231499,69.614449,0,0,0,174.95163,47.747978,26.489361,100.71429,0,0,0,0,0.58029002,0,0,0,0,677.10138,1937.430786,62.16559982,267.8803406,8.38064003,230.1079102,26.82291031,0.770990014,0.54944998,26.63467026,356.3114319,29.06568909,31427008000,29012,5296
1,29,98,4,3.3812456,1,99,60.245499,46.495499,0,13.75,0,21.299999,0,0,0,0,0,0,0,19.56522,19.56522,0,0,79.022987,1372.5,1372.5,0,0,0,0,0,0,3004.9443,1288.566528,59.49942017,1926.846313,0.848730028,3.604279995,6.633359909,10.80000019,146.4898834,51.36196899,488.84375,7.963200092,31427008000,29012,5296
1,29,100,5,3.1950719,2,0,257.08099,226.01401,0,31.066999,0,19,0,123.50438,44.125351,79.379028,82.727272,72.727272,10,64.368698,3.575,60.793701,0,21.189659,0,0,0,4.165,5.3150001,5.3150001,0,0,1110.3474,1339.338501,32.8757782,272.3982544,1.021049976,0.581889987,13.55694008,111.8811417,244.1218109,25.85113907,230.6177368,7.445730209,31427008000,29012,5296
1,29,100,6,1.7932923,1,99,98.204002,67.137001,0,31.066999,0,19,0,35.294739,22.062679,13.23206,55.795448,54.545448,1.25,21.4,0.71499997,20.684999,0,21.189659,0,0,0,2.915,2.8150001,2.8150001,0,0,470.12302,658.3927002,16.6096096,149.7864075,0.674139977,0.398479998,6.993350029,74.62783813,106.8675613,18.46512032,150.9973145,4.370530128,31427008000,29012,5296
1,29,100,2,31.329227,2,12,400.75601,392.814,0,7.9419999,0,15,0,499.26746,113.7507,385.51678,21.6,0,21.6,84.388702,23.594999,60.793701,0,21.189659,0,0,0,1.63,0.625,0.625,0,0,1044.4568,1874.408691,49.77893829,474.756012,10.58232975,344.4962769,83.13391876,0.953559995,0.658259988,19.41847992,373.8395081,19.89045906,31427008000,29012,5296
1,29,102,2,17.913757,2,4,96.907997,76.727997,0,20.18,0,19.219999,0,59.632259,0,59.632259,338,338,0,319.20636,319.20636,0,0,0,0,0,0,4,0,0,0,0,836.96661,980.4978638,47.1009407,292.3543396,5.991320133,199.0720367,361.1883545,0.481099993,0.639050007,20.69313049,168.4801483,13.07872009,31427008000,29012,5296
1,29,104,1,18.173853,2,6,386.44775,267.0885,79.411758,39.947498,87.685806,10.5,15,211.93274,93.515404,118.41734,255.22388,0,255.22388,7.1500001,7.1500001,0,0,0,45,45,0,18.23531,0,0,0,0,1037.1755,1745.171631,34.0085907,500.4559326,8.758660316,235.5552368,103.6541672,1.002599955,0.84266001,14.27552986,346.510498,24.94943047,35234012000,29012,5275.959961
1,29,107,2,29.765913,2,10,415.36151,372.733,0,42.628502,0,5,0,83.410271,44.740341,38.66993,0,0,0,28.012501,0,28.012501,0,0,0,0,0,0,7.5,7.5,0,0,539.28424,1675.512817,38.87363815,304.8519592,8.314490318,224.9206848,17.78038025,1.243170023,0.811160028,16.05187988,340.1684875,19.49620056,35234012000,29012,5275.959961
1,29,108,7,1.7138946,1,99,27.99538,7.2453799,0,20.75,0,73.440002,0,0,0,0,75,75,0,15,15,0,0,0,823.5,823.5,0,0,0,0,0,0,1956.4308,789.4520264,18.90089989,568.6247559,0.588649988,0.973640025,6.892099857,154.1699982,130.9041748,21.01026917,13.41666985,6.999249935,35234012000,29012,5275.959961
