regcode,provcode,hhnum,member_code,age,sex,csc,psc,rhc,educ,occup,wrkpl
5,5,1373,01,61.163586,1,2,99,9,6,6,8
5,5,1373,02,61.295002,2,2,0,9,6,9,8
5,5,1373,04,29.746748,2,,12,9,6,10,9
5,5,1374,01,80.999313,1,,99,1,1,6,0
5,5,1375,05,87.411362,1,2,99,9,7,0,9
5,5,1375,06,82.034225,2,2,0,9,6,0,9
5,5,1376,01,73.451057,1,2,99,9,6,7,8
5,5,1376,02,70.833679,2,2,0,9,6,7,8
5,5,1377,01,40.032856,1,,99,1,10,6,1
5,5,1377,02,33.070499,2,,0,2,9,7,1
5,5,1377,03,14.600958,1,,99,3,8,14,9
5,5,1377,04,13.155373,2,,0,4,7,14,9
5,5,1378,01,76.626968,1,2,99,1,4,0,9
5,5,1378,02,71.249832,2,2,0,2,6,10,9
5,5,1378,03,29.63176,2,,0,4,10,0,9
5,5,1379,01,26.841888,1,,99,1,8,6,1
5,5,1379,02,26.855577,2,,11,2,14,10,9
5,5,1379,03,1.0266941,2,1,0,4,99,99,9
5,5,1380,01,35.734428,1,,99,1,10,10,9
5,5,1380,02,40.210815,2,,0,2,14,1,1
5,5,1380,03,16.145105,2,,0,4,9,14,9
5,5,1380,04,12.772074,2,,0,4,7,14,9
5,5,1380,05,10.762491,1,1,99,5,4,14,9
5,5,1380,06,9.5249825,1,1,99,5,3,99,9
5,5,1381,01,52.21629,1,2,99,1,10,1,1
5,5,1381,02,49.612595,2,2,0,2,10,10,9
5,5,1381,03,21.201916,2,1,0,4,14,0,9
5,5,1381,04,9.4866533,1,1,99,3,3,99,9
5,5,1381,05,80.194389,2,3,0,5,2,14,9
5,5,1382,01,46.475018,1,2,99,1,10,9,1
5,5,1382,02,31.857632,2,2,0,2,8,10,9
5,5,1382,03,10.595483,1,1,99,3,4,14,9
5,5,1383,01,74.327171,2,3,0,1,6,7,0
5,5,1383,02,36.098564,2,,0,4,6,7,0
5,5,1383,03,9.7357969,1,1,99,5,2,99,9
5,5,1384,01,65.013008,1,2,99,9,11,0,9
5,5,1385,01,61.765915,1,2,99,1,7,8,1
5,5,1385,02,52.517452,2,2,0,2,6,10,9
5,5,1385,03,24.334019,2,,0,4,12,14,9
5,5,1385,04,20.175222,2,,0,4,8,0,9
5,5,1385,05,17.702944,2,,0,4,10,14,9
5,5,1385,06,14.872005,1,,99,3,7,14,9
5,5,1385,07,12.342232,2,,0,4,5,14,9
5,5,1386,01,39.731689,1,,99,1,6,6,1
5,5,1386,02,38.513348,2,,0,2,10,10,9
5,5,1386,03,16.468172,1,,99,3,8,0,9
5,5,1386,04,15.107461,1,,99,3,7,0,9
5,5,1386,05,5.7303219,2,1,0,4,99,99,9
5,5,1387,01,75.362083,1,2,99,9,6,0,9
5,5,1387,02,67.271729,2,2,0,9,7,5,0
5,5,1388,01,60.741959,1,,99,1,14,2,1
5,5,1388,02,52.862423,2,,0,2,14,2,1
5,5,1388,03,25.46475,2,,0,4,14,0,9
5,5,1388,04,20.470911,1,,99,3,11,14,9
5,5,1388,05,15.186858,2,,0,4,8,14,9
5,5,1388,06,10.978782,1,1,99,3,5,14,9
